text,author,date,title
"derbiye yüklenene kadar albayrak ve diğerlerinin derbiden sonra nerelere gittikleri, kimlerle görüştükleri incelenirse asıl kaynak ortaya çıkabilir.dünkü muhabbet olayın sıcaklığıyla kurban arama muhabbetiydi.top toplayıcı, basın vs vs denmiş, e tabi bunlar beşiktaşlılarla hiç muhatap olmadılar.neyse bir fatih hoca ve galatasaray'a geçmiş olsun.",maximum,24.03.2020 20:00,beşiktaş covid-19 testlerinin negatif çıkması
bu maçı haklı mı çıkarır? belki de maç oynanacağı için temas kurulması gereken*birilerinden bulaşmıştır. biz bjk’den mi bulaştı dedik aq?tanım: arsızların oynanmaması gereken maçı aklama çabaları.,cupakabrakazim,24.03.2020 20:02,beşiktaş covid-19 testlerinin negatif çıkması
bunlar tam bir geri zekalı ya bir söz var dinde; sebep olan yapan gibidir,django0,24.03.2020 20:07,beşiktaş covid-19 testlerinin negatif çıkması
şükürler olsun.galatasaray başkanı dinlenseydi derbi seyircili oynanacaktı. tüm tedbirleri aldık demişti.neyse ki seyircisiz oynanan maçta da hastalık henüz yokmuş ki negatif çıktı beşiktaş ekibi.hastalananlara tekrar geçmiş olsun.,quotron,24.03.2020 20:25 ~ 20:26,beşiktaş covid-19 testlerinin negatif çıkması
"size kim dedi virüs beşiktaşlılardan geldi diye? bu ne saçmalık? tiner diyince kızıyorsunuz da hangi kafa bu?virüsün kaynağı ya albayrak ya başka bir şey, çok şükür beşiktaş cephesinde sorun yokmuş. umarım o statta olan başka kimsede bir şey yoktur.",black focus,24.03.2020 20:29 ~ 20:30,beşiktaş covid-19 testlerinin negatif çıkması
"sevindirici gelişmedir.galatasaraylılara maçta mı bulaştı maçla alakası olmayan başka bir şekilde mi bulaştı bilmiyorum. ancak sormak isterim. dünden beri federasyona ve beşiktaşlılara küfreden galatasaraylılar, virüs bulaşmasının maç ile ilintili olduğuna nasıl bu kadar emin oluyorlar? bir soru daha, ya maçtan sonra bulaştıysa edilen beddua ve küfürlerden utanacak mısınız?",liku it,24.03.2020 20:32,beşiktaş covid-19 testlerinin negatif çıkması
bu süper boktan günlerde mutlu eden haberdir.beşiktaş camiasına büyük geçmiş olsun.,khellendros,24.03.2020 20:52,beşiktaş covid-19 testlerinin negatif çıkması
"bazıları demek ki fatih terim’e maçta olmamış diye seviniyor.oğlum gerçekten ne yaşıyorsunuz ya. terim maçtan önce kapmış olabilirdi, bir galatasaraylı futbolcuya bulaştırmış olabilirdi, o da 11 beşiktaşlıya onlar da tüm kulübe bulaştırmış olabilirdi.olmamış olması bu ihtimali gözardı etmeyi gerektirmez. olay terim’in nerede kaptığı değil bu tehlike varken maçı oynatmaktı.1 puanı aldınız, kına yakın!",daha cok beklicez mi abi,24.03.2020 20:56,beşiktaş covid-19 testlerinin negatif çıkması
"hani herkes eşitti, yine fakirler sıralara girip beklesin sonra test yaptıramadan geri dönsünler.",fistikbenimolacak,24.03.2020 20:58,beşiktaş covid-19 testlerinin negatif çıkması
"çok sevindiren gelişmedir. yine de ne olur ne olmaz diyerek önlemlerini almalı beşiktaş kulübü. bunun yanında biz galatasaraylıların tepkisinin beşiktaş’la hiçbir alakası yok. bizim tepkimizin kimlere olduğu belli. abdurrahim başkana ve hocaya virüsün nasıl,nerede ve ne zaman bulaştığı halen belli değil.bakın şampiyonluk,derbi galibiyeti ya da gelecek maddi kaynaklar zerre umrumda değil. benim derdim insanlar. o stadda 1000 tane görevli vardı o gün.",faizlobisinincaycisi,24.03.2020 20:58,beşiktaş covid-19 testlerinin negatif çıkması
beşiktaş’ın aldığı aksiyonu çok değerli buluyorum. bu sayede olayın başka yerlere çekilmesi engellenmiş oldu en azından bu süreç hiç bir şart ve koşulda beşiktaş ile ilişkilendirilemeyecek.,maksimaks,24.03.2020 21:00,beşiktaş covid-19 testlerinin negatif çıkması
doğruysa beşiktaşım ucuz atlatmış dediğim güzel haberdir.gs'den virüs kapılabilirdi.,balthazar blake,24.03.2020 21:01,beşiktaş covid-19 testlerinin negatif çıkması
"bu adamların gerçekten anlama kıtlığı var yada cidden tiner içiyorlar! beşiktaş maçı için futbolcular 1 haftadır tesislerde antrenman yapıyor. ligler 4,5 gün önce ertelense bu adamlar antrenman yapmayacak ve virüs kapmayacaktı.",mr zecg,24.03.2020 21:06,beşiktaş covid-19 testlerinin negatif çıkması
"ekşi sözlük beyni yanmış tim geldiğine göre anlatalım arkadaşlar çok futbolla alakalı değilim ama salak mısınız teknik heyet ve beşiktaş oyuncularında çıkmaması o saha da kapmadıklarını nasıl açıklayabilir? top toplayıcılara yapılmış mı? saha görevlilerine bu test yapılmış , hakemlere yapılmış mı? bu saydıklarım ilk temas edecekleri insanları ve niceleri daha vardır şöföründen tutun kaldıkları yere kadar önem arz eder.bir fenerbahçeli olarak fatih terim ve abdurrahim albayrak'a geçmiş olsun dileklerimle",sadecegerceklerikonusanadam,24.03.2020 21:07,beşiktaş covid-19 testlerinin negatif çıkması
bir kaç gün sonra tekrarlanmalı. çünkü pozitif çıkabiliyor.,metalpago,24.03.2020 21:10,beşiktaş covid-19 testlerinin negatif çıkması
hiç kimse galatasaray beşiktaştan virüs kaptı diye ibne ibne konuşmasın. çok net söylüyorum ibnelik yapmayın.yukarıda birkaç ibne görüyorum onlar için söyledim.,maksimaks,24.03.2020 21:11,beşiktaş covid-19 testlerinin negatif çıkması
öncelikle belirteyim sevindirici haber. tüm beşiktaş camiasına geçmiş olsun.demek derbide kapmamış fatih terim. o zaman maçları oynatabiliriz. hatta beşiktaş başkanının önerisi çok zekiceydi onu uygulayalım.,random nick,24.03.2020 21:16,beşiktaş covid-19 testlerinin negatif çıkması
"gsliler pisliğinizi bize bulastirmayın.boylece,federeasyon ve hükümete sallayanlar yavaş yavaş entry silmeye başlayabilirler.*",isteoylesine,24.03.2020 21:18,beşiktaş covid-19 testlerinin negatif çıkması
algıcı sarışın orospuların uğramayacağı başlık olacaktır biz inadına gündemde tutalım,siparisi koreden 75 gunde gelen adam,24.03.2020 21:45,beşiktaş covid-19 testlerinin negatif çıkması
